,officer,date,age,weapon,outcome,assignment,latlng,id
182,Bruce A. Strelow,1999-07-28,24,"(1, 'Gun')",0,East Los Angeles - COPS team,"(34.0559794, -118.1770584)",SH1263371
183,Bruce A. Strelow,1999-07-28,28,"(1, 'Gun')",0,East Los Angeles - COPS team,"(34.0559794, -118.1770584)",SH1263371
184,Sean Klenin,1999-08-07,34,"(1, 'Gun')",1,Norwalk,"(33.9022639, -118.0612153)",SH1263871
185,Michael D. Galvan,1999-08-11,36,"(1, 'Gun')",2,Pico Rivera - COPS team,"(33.9281759, -118.1295429)",SH1264292
186,Mario Jimenez,1999-08-25,Unknown,"(1, 'Gun')",1,Lennox,"(33.9612485, -118.2916045)",SH1265451
187,Terance Holden,1999-10-12,37,"(1, 'Knife, hatchet')",1,West Hollywood,"(34.0928472, -118.379064)",SH1271471
188,Timothy Phillips,1999-10-27,19,"(1, 'Gun')",2,East Los Angeles - Special Problems Enforcement Team,"(34.0163163, -118.1446402)",SH1273723
189,Joe L. Ochoa,1999-11-22,44,"(1, 'Gun')",1,East Los Angeles,"(32.2676451, -109.231934)",SH2000944
190,Victor J. Naranjo,1999-12-25,34,"(1, 'Gun')",1,Pico Rivera,"(33.983307, -118.070586)",SH1045155
191,Philip Hansen,2000-02-06,25,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.0053248, -118.0731012)",SH2005203
192,David Holwager,2000-02-08,50,"(0, '')",1,Crescenta Valley,"(34.2111445, -118.2321557)",SH2005084
193,Unknown,2000-02-18,20,"(0, '')",1,Unknown,"(33.9873833, -118.4540242)",Unknown
194,Jeffrey Riggins,2000-02-29,18,"(1, 'Gun')",0,Special Enforcement Bureau,"(33.8261093, -118.1837781)",SH2006926
195,Francis Ruiz,2000-04-26,17,"(1, 'Gun')",1,Marina Del Rey,"(34.0012138, -118.3332449)",SH2010762
196,Steven Velasquez,2000-05-21,34,"(1, 'Knife')",1,East Los Angeles,"(34.0321951, -118.1469571)",SH2013164
197,Carlos Parga,2000-06-13,29,"(1, 'Gun')",2,Community Oriented Multi-agency Narcotics Enforcement Task Force (COMNET),"(34.085425, -118.0344978)",SH2014835
198,Michael Yocum,2000-07-07,35,"(0, '')",1,Century,"(33.91852, -118.202442)",SH2015757
199,Ron Miranda,2000-07-20,58,"(1, 'Gun')",1,Century,"(33.8548762, -118.2417708)",SH2016325
200,Louis Suazo,2000-08-07,25,"(0, '')",0,Carson,"(33.8305075, -118.2777847)",SH2017524
201,Richard Hirsch,2000-08-13,36,"(0, '')",1,Temple,"(34.0767102, -118.0730452)",SH2017863
202,Unknown,2000-08-13,23,"(2, '')",1,Unknown,"(33.9030102, -118.3206461)",Unknown
203,Thomas Carter,2000-08-25,47,"(1, 'Machete')",1,Lancaster,"(34.6867055, -118.1506442)",SH2018726
204,Alan Healy,2000-08-29,46,"(1, 'Gun')",1,Norwalk,"(33.9170775, -118.0699729)",SH2018833
