,geo
635,"(33.9884531, -118.1983132)"
636,"(34.0510154, -118.2326823)"
637,"(34.0553863, -118.0850506)"
638,"(34.1189662, -117.9927847)"
639,"(34.1189662, -117.9927847)"
640,"(33.8844449, -118.0777371)"
641,"(33.9180221, -118.2321282)"
642,"(34.4159695, -118.4586707)"
643,"(34.0313233, -118.3876371)"
644,"(34.0097621, -117.8848341)"
645,"(33.7901195, -118.1776789)"
646,"(33.7901195, -118.1776789)"
647,
648,"(34.67163230000001, -118.1593072)"
649,"(33.8867736, -118.2259193)"
650,"(34.1904391, -118.3018327)"
651,"(34.3871821, -118.1122679)"
652,"(33.93627439999999, -118.2097896)"
653,"(33.9913126, -118.1953798)"
654,"(34.0365093, -118.1849257)"
655,"(34.0949158, -118.3735301)"
656,"(33.88051859999999, -118.2043472)"
657,"(34.1436372, -118.3977294)"
658,"(33.8983564, -118.2095299)"
659,"(33.8983564, -118.2095299)"
660,"(34.1436372, -118.3977294)"
661,"(34.3871821, -118.1122679)"
662,"(33.8421788, -118.277304)"
663,"(33.8958492, -118.2200712)"
664,"(33.9933807, -118.0870041)"
665,"(33.9933807, -118.0870041)"
666,"(34.0256172, -118.2730288)"
667,"(33.9262323, -118.2736547)"
668,"(33.8742828, -118.1461971)"
669,"(33.8734296, -118.2143704)"
670,"(33.9722444, -118.2560605)"
671,"(34.0172308, -118.1629468)"
672,"(33.9005188, -118.1582666)"
673,"(33.8814651, -118.3307926)"
674,"(34.6157063, -118.204669)"
675,"(34.0180286, -118.1569825)"
676,"(34.0180286, -118.1569825)"
677,"(33.8073676, -118.2709572)"
678,"(33.8948915, -118.2764091)"
679,"(34.3700734, -118.5082173)"
680,"(33.8523642, -118.2460768)"
681,"(34.180927, -118.1360596)"
682,"(34.3227079, -118.4746692)"
683,"(33.83399, -118.2502224)"
684,"(34.0279162, -118.2734684)"
685,"(33.9459661, -118.2959285)"
686,"(33.9398845, -118.2915952)"
687,"(33.9436174, -118.29139)"
688,"(33.9556208, -118.2329304)"
689,"(34.0532606, -118.0437525)"
690,"(33.8758062, -118.0504507)"
691,"(34.1862367, -118.4884996)"
692,"(34.1288571, -117.8901702)"
693,"(33.8882544, -118.2458084)"
694,"(34.6704221, -118.1851177)"
695,"(33.8332838, -118.0720472)"
696,"(33.8565332, -118.1237725)"
697,"(34.1384642, -118.0813135)"
698,"(33.9722633, -118.0551494)"
699,"(33.89195, -118.2362157)"
700,"(33.89195, -118.2362157)"
701,"(33.9548395, -118.1137766)"
702,"(33.9093574, -118.1163387)"
703,"(33.8900516, -118.1929967)"
704,"(34.0303218, -118.0070809)"
705,"(34.0312098, -117.9160944)"
706,"(33.93483459999999, -118.2811316)"
707,"(34.0399401, -118.0828234)"
708,"(33.9170356, -118.0817528)"
709,"(33.9170356, -118.0817528)"
710,"(33.917216, -118.2097506)"
711,"(34.5713298, -118.0445866)"
712,"(33.8865236, -118.262054)"
713,"(34.7056089, -118.150106)"
714,"(34.4195922, -118.4599337)"
715,"(33.8905579, -118.2042314)"
716,"(34.6820368, -118.079746)"
717,"(34.0215441, -118.1636107)"
718,"(33.8939091, -118.1750984)"
719,"(33.8939091, -118.1750984)"
720,"(33.88705059999999, -118.1004354)"
721,"(33.9447021, -118.3523585)"
722,"(33.92346730000001, -118.2892798)"
723,"(33.9810723, -118.241561)"
724,"(34.0123869, -118.127007)"
725,"(33.9944587, -118.1932718)"
726,"(33.883738, -118.141026)"
727,"(33.9090423, -118.2391811)"
728,"(34.4925054, -118.6182288)"
729,"(33.9428423, -118.3611218)"
730,"(34.22122969999999, -118.4292234)"
731,"(33.899208, -118.2399761)"
732,"(33.9624998, -118.2431283)"
733,"(33.78954970000001, -118.3254232)"
734,"(34.0140235, -118.4913573)"
735,"(34.6844259, -118.1914156)"
736,"(33.9257124, -118.1073516)"
737,"(34.2453807, -118.5696033)"
738,"(33.9086534, -117.9771746)"
739,"(33.8971735, -118.1796974)"
740,"(33.9579229, -118.2959125)"
741,"(33.9789661, -117.9760915)"
742,"(34.0215442, -118.1626316)"
743,"(34.0183682, -118.0634902)"
744,"(33.8961155, -118.2331077)"
745,"(34.3871821, -118.1122679)"
746,"(34.3871821, -118.1122679)"
747,"(34.024073, -118.1573331)"
748,"(34.2040125, -118.4483226)"
749,"(33.9879041, -118.3667883)"
